seriesId,value,YearMon
1,473596218,201401
1,206654195,201402
1,576451020,201403
1,404095401,201404
1,308745946,201405
1,202939507,201406
1,190459820,201407
1,238966094,201408
1,431358736,201409
1,417500312,201410
1,511779687,201411
1,483468167,201412
1,416709330,201501
1,293710140,201502
1,637507455,201503
1,487941206,201504
1,300802565,201505
1,232958135,201506
1,190459820,201507
1,242935851,201508
1,444418619,201509
1,524226691,201510
1,632466662,201511
1,429404682,201512
2,70580702,201401
2,66273446,201402
2,74868241,201403
2,85164274,201404
2,75385113,201405
2,89056598,201406
2,66273446,201407
2,73904146,201408
2,73010289,201409
2,70822648,201410
2,76572771,201411
2,80674345,201412
2,73443938,201501
2,73085874,201502
2,85408591,201503
2,91926870,201504
2,83708495,201505
2,91926870,201506
2,78915115,201507
2,78749736,201508
2,80149800,201509
2,72550329,201510
2,86643255,201511
2,78423109,201512
3,70859039,201401
3,63816074,201402
3,75156561,201403
3,75116098,201404
3,91224903,201405
3,86683567,201406
3,70489805,201407
3,79050222,201408
3,73273271,201409
3,72767696,201410
3,76111527,201411
3,75688013,201412
3,79008855,201501
3,79415066,201502
3,95185260,201503
3,71332744,201504
3,95185260,201505
3,91697295,201506
3,63816074,201507
3,89790017,201508
3,81735495,201509
3,66643085,201510
3,73510246,201511
3,71476524,201512
4,27652673,201401
4,24101820,201402
4,30276728,201403
4,30276728,201404
4,29512486,201405
4,28870138,201406
4,25870989,201407
4,24718470,201408
4,23475994,201409
4,20727903,201410
4,19330843,201411
4,21098137,201412
4,21065057,201501
4,21847745,201502
4,23947453,201503
4,24046546,201504
4,26333889,201505
4,23720729,201506
4,23092319,201507
4,21614717,201508
4,20513254,201509
4,19058979,201510
4,21800649,201511
4,19058979,201512
5,36248457,201401
5,38912599,201402
5,41242495,201403
5,36654933,201404
5,36977310,201405
5,80593016,201406
5,45632555,201407
5,44754386,201408
5,32434878,201409
5,41844983,201410
5,44909010,201411
5,43277032,201412
5,40653053,201501
5,42728113,201502
5,46107521,201503
5,35952936,201504
5,39885135,201505
5,80593016,201506
5,32987720,201507
5,33017477,201508
5,32434878,201509
5,45207947,201510
5,44685787,201511
5,41307797,201512
6,11798773,201401
6,13052282,201402
6,16683726,201403
6,14566616,201404
6,13441945,201405
6,18369646,201406
6,9978888,201407
6,14804546,201408
6,13953896,201409
6,11265704,201410
6,15502914,201411
6,16033717,201412
6,14106632,201501
6,14342357,201502
6,16009233,201503
6,15256628,201504
6,14686809,201505
6,18369646,201506
6,13148691,201507
6,9978888,201508
6,15452060,201509
6,13614868,201510
6,13433983,201511
6,11791707,201512
7,54706412,201401
7,57159539,201402
7,97002779,201403
7,61945103,201404
7,65899827,201405
7,97002779,201406
7,78046142,201407
7,72399878,201408
7,69801986,201409
7,60695293,201410
7,71994589,201411
7,73132342,201412
7,55389720,201501
7,56386320,201502
7,78871799,201503
7,57762791,201504
7,62547350,201505
7,63623473,201506
7,56856156,201507
7,65115807,201508
7,82277264,201509
7,48157380,201510
7,55002830,201511
7,42318730,201512
8,55149888,201401
8,45466715,201402
8,76022600,201403
8,84931704,201404
8,73011056,201405
8,75072722,201406
8,73708386,201407
8,133171897,201408
8,101228648,201409
8,54670115,201410
8,56170989,201411
8,56122845,201412
8,65104328,201501
8,59033740,201502
8,63833969,201503
8,77406917,201504
8,56110424,201505
8,67604039,201506
8,75776875,201507
8,133171897,201508
8,65843968,201509
8,50000299,201510
8,40846571,201511
8,40846571,201512
9,36701909,201401
9,37523682,201402
9,47341773,201403
9,43143369,201404
9,42875499,201405
9,42921941,201406
9,36279517,201407
9,42892140,201408
9,47255997,201409
9,40918556,201410
9,47341773,201411
9,44005126,201412
9,33041184,201501
9,33041184,201502
9,38216352,201503
9,35474642,201504
9,39162519,201505
9,41531691,201506
9,34126402,201507
9,33989286,201508
9,43356079,201509
9,39782910,201510
9,44064002,201511
9,35925568,201512
10,32306752,201401
10,35761904,201402
10,89378598,201403
10,38797822,201404
10,39968405,201405
10,64758273,201406
10,40256068,201407
10,36300082,201408
10,37764820,201409
10,35788581,201410
10,37543340,201411
10,40411474,201412
10,33084980,201501
10,37437475,201502
10,36362378,201503
10,40593737,201504
10,40921092,201505
10,46220549,201506
10,39244751,201507
10,33388448,201508
10,36945864,201509
10,31028195,201510
10,34174299,201511
10,31054613,201512
11,31224426,201401
11,32510748,201402
11,31702578,201403
11,36593438,201404
11,36593438,201405
11,35973018,201406
11,32691676,201407
11,30305809,201408
11,30275857,201409
11,32479230,201410
11,33536062,201411
11,32923296,201412
11,28870055,201501
11,27243866,201502
11,28656185,201503
11,33128216,201504
11,35660776,201505
11,32444455,201506
11,27430245,201507
11,31280664,201508
11,31607572,201509
11,27243866,201510
11,27591940,201511
11,28345943,201512
12,33674095,201401
12,28722251,201402
12,34537335,201403
12,30159341,201404
12,34398435,201405
12,36242447,201406
12,32318995,201407
12,33796716,201408
12,35474450,201409
12,30681766,201410
12,29354407,201411
12,36366874,201412
12,27640013,201501
12,27954943,201502
12,33116257,201503
12,27501995,201504
12,30872215,201505
12,35620362,201506
12,32104238,201507
12,32438687,201508
12,34035665,201509
12,27501995,201510
12,30178234,201511
12,30871420,201512
